"","individual","scans_sampled","degree","strength","betweenness","eigenvector","group","season_id","group_size","degree_normalized"
"123","Udup",33,13,0.404302432077953,0.0919098822324629,0.00048294759595763,"Noha","dry_2024",22,0.619047619047619
"124","Udup#4",1,1,0.0232558139534884,0,3.04897004927805e-05,"Noha","dry_2024",22,0.0476190476190476
"125","Vry",3,1,0.5,0,0.998350015296982,"Noha","dry_2024",22,0.0476190476190476
"126","Vry#4",1,1,0.0204081632653061,0,1.46123070570168e-05,"Noha","dry_2024",22,0.0476190476190476
"127","Vul",21,5,0.138628236679918,0.003584229390681,0.000199886993577301,"Noha","dry_2024",22,0.238095238095238
"128","Vul#4",1,1,0.0303030303030303,0,2.92212569583081e-05,"Noha","dry_2024",22,0.0476190476190476
"129","Xala",43,15,0.340279664891016,0.0716845878136201,0.000656611960284988,"Noha","dry_2024",22,0.714285714285714
"130","Xala#4",3,2,0.528571428571429,0.0317460317460317,1,"Noha","dry_2024",22,0.0952380952380952
"131","Xati",19,8,0.230904602886027,0.0307219662058372,0.00268851253606881,"Noha","dry_2024",22,0.380952380952381
"132","Xati#4",1,1,0.142857142857143,0,5.14795692803204e-05,"Noha","dry_2024",22,0.0476190476190476
"133","Xeni",36,12,0.328767236101634,0.0660522273425499,0.000190140152640638,"Noha","dry_2024",22,0.571428571428571
"134","Xeni#4",1,1,0.0344827586206897,0,2.01089485832276e-05,"Noha","dry_2024",22,0.0476190476190476
"135","Xinp",37,13,0.34223836756841,0.079621095750128,0.00370353288138742,"Noha","dry_2024",22,0.619047619047619
"136","Xop",33,6,0.147510166095898,0.0701484895033282,0.0577971862121912,"Noha","dry_2024",22,0.285714285714286
"137","gale",4,4,0.130217391304348,0.00665642601126472,0.000494668636423861,"Noha","dry_2024",22,0.19047619047619
"138","gree",3,2,0.0698412698412698,0,5.10136398292138e-05,"Noha","dry_2024",22,0.0952380952380952
"139","gri",1,1,0.024390243902439,0,1.12063360941121e-05,"Noha","dry_2024",22,0.0476190476190476
"140","grim",3,3,0.0971906510462202,0,7.87132473263967e-05,"Noha","dry_2024",22,0.142857142857143
"141","gris",1,1,0.024390243902439,0,1.12063360941115e-05,"Noha","dry_2024",22,0.0476190476190476
"142","griv",2,2,0.047027027027027,0,3.62244581272863e-05,"Noha","dry_2024",22,0.0952380952380952
"143","gua",4,3,0.108173076923077,0.0184331797235023,0.000407181203467375,"Noha","dry_2024",22,0.142857142857143
"144","lus",2,2,0.0533428165007112,0,0.000216505560831751,"Noha","dry_2024",22,0.0952380952380952
"145","palm",2,2,0.0521390374331551,0,0.00342402156093452,"Noha","dry_2024",22,0.0952380952380952
"146","pom",2,2,0.0463157894736842,0,0.000208921224536197,"Noha","dry_2024",22,0.0952380952380952
"147","prag",1,1,0.0204081632653061,0,1.46123070570145e-05,"Noha","dry_2024",22,0.0476190476190476
"148","prim",1,1,0.0526315789473684,0,5.61438645123963e-05,"Noha","dry_2024",22,0.0476190476190476
"149","ris",1,1,0.0204081632653061,0,1.4612307057016e-05,"Noha","dry_2024",22,0.0476190476190476
"150","riva",1,2,0.0796586059743954,0.00153609831029186,0.00022779554976467,"Noha","dry_2024",22,0.0952380952380952
"151","udi",1,1,0.0344827586206897,0,1.60440671101385e-05,"Noha","dry_2024",22,0.0476190476190476
"152","udup",1,1,0.0277777777777778,0,2.2512852689518e-05,"Noha","dry_2024",22,0.0476190476190476
"153","vul",2,2,0.0508365508365508,0,2.12004063679155e-05,"Noha","dry_2024",22,0.0952380952380952
"154","xala",2,2,0.0785714285714286,0,6.31388214780468e-05,"Noha","dry_2024",22,0.0952380952380952
"155","xati",2,2,0.0555984555984556,0,2.43645302938251e-05,"Noha","dry_2024",22,0.0952380952380952
"156","xeni",3,3,0.0924603174603175,0,0.000103598561647574,"Noha","dry_2024",22,0.142857142857143
"157","xinp",3,2,0.0862745098039216,0,4.50578051539967e-05,"Noha","dry_2024",22,0.0952380952380952
"158","xop",3,3,0.118859371705672,0.017921146953405,7.15321322908677e-05,"Noha","dry_2024",22,0.142857142857143
"159","BBRiva25",5,5,0.0567107622591345,0,0.0857685890793396,"Noha","dry_2025",21,0.25
"160","BBXala25",6,4,0.095410277763219,0,0.116400461842149,"Noha","dry_2025",21,0.2
"161","Gale",80,20,0.440346800577067,0.0243632336655592,0.646486166463667,"Noha","dry_2025",21,1
"162","Gap",32,20,0.51401905184499,0.105204872646733,0.749839222838115,"Noha","dry_2025",21,1
"163","Gree",87,21,0.362187687053963,0.106312292358804,0.538015828974877,"Noha","dry_2025",21,1.05
"164","Gren",28,16,0.427853397411438,0.0321151716500554,0.740523135638151,"Noha","dry_2025",21,0.8
"165","Gri",81,20,0.249151645120925,0,0.332661386404351,"Noha","dry_2025",21,1
"166","Grim",86,27,0.493657816563705,0.161683277962348,0.629724087257931,"Noha","dry_2025",21,1.35
"167","Gris",85,20,0.35895521770731,0.0155038759689922,0.505402812055585,"Noha","dry_2025",21,1
"168","Griv",85,21,0.474855108225809,0.0681063122923588,0.732128750945935,"Noha","dry_2025",21,1.05
"169","Gua",83,21,0.463296664724223,0.192691029900332,0.626627197581016,"Noha","dry_2025",21,1.05
"170","Guri",4,5,0.318731851721138,0.0465116279069767,0.186798645875805,"Noha","dry_2025",21,0.25
"171","Lus",77,16,0.227461805667922,0,0.308688009827432,"Noha","dry_2025",21,0.8
"172","Palm",83,18,0.366093458735053,0.0919158361018826,0.53987698700252,"Noha","dry_2025",21,0.9
"173","Pom",81,14,0.171029617359865,0,0.232734347582078,"Noha","dry_2025",21,0.7
"174","Por",7,5,0.0546051306834199,0,0.0850907736764696,"Noha","dry_2025",21,0.25
"175","Prag",84,23,0.430910366155062,0.079734219269103,0.616230556509638,"Noha","dry_2025",21,1.15
"176","Prim",67,13,0.171332841519621,0,0.253813464202315,"Noha","dry_2025",21,0.65
"177","Riga",11,12,0.151872776625258,0,0.197360171244102,"Noha","dry_2025",21,0.6
"178","Ris",82,17,0.406115836634528,0.16500553709856,0.48069383286584,"Noha","dry_2025",21,0.85
"179","Riva",87,23,0.405296731115524,0.0365448504983389,0.5184665340158,"Noha","dry_2025",21,1.15
"180","Udi",85,21,0.330535378973874,0.0631229235880399,0.398928300095213,"Noha","dry_2025",21,1.05
"181","Udup",84,23,0.443553613317547,0.102990033222591,0.630592984484728,"Noha","dry_2025",21,1.15
"182","UnkA",1,1,0.25,0,0.120827767859077,"Noha","dry_2025",21,0.05
"183","UnkAF",1,1,0.0121951219512195,0,0.0151672804840507,"Noha","dry_2025",21,0.05
"184","UnkBB",2,5,0.0780198483686856,0,0.130839796406757,"Noha","dry_2025",21,0.25
"185","UnkJF",1,1,0.0133333333333333,0,0.0119014596801889,"Noha","dry_2025",21,0.05
"186","Xala",82,20,0.290062236149118,0.0365448504983389,0.384653896246495,"Noha","dry_2025",21,1
"187","Xati",83,28,0.735254089183433,0.241417497231451,1,"Noha","dry_2025",21,1.4
"188","Xeni",87,23,0.275711704044024,0.00664451827242525,0.305488644343256,"Noha","dry_2025",21,1.15
"189","Xic",14,8,0.118303129311797,0,0.178221640565099,"Noha","dry_2025",21,0.4
"190","Xinp",75,18,0.25938433918186,0.0498338870431894,0.34499156189376,"Noha","dry_2025",21,0.9
"191","Xop",65,8,0.114340365158032,0,0.132259375705757,"Noha","dry_2025",21,0.4
"192","gale",1,1,0.0114942528735632,0,0.0160003256129107,"Noha","dry_2025",21,0.05
"193","gree",2,2,0.0233990147783251,0,0.0353567765381541,"Noha","dry_2025",21,0.1
"194","grim",1,1,0.0117647058823529,0,0.0121430823668485,"Noha","dry_2025",21,0.05
"195","gris",1,1,0.0119047619047619,0,0.0194232933301375,"Noha","dry_2025",21,0.05
"196","gua",1,1,0.0116279069767442,0,0.01894544778696,"Noha","dry_2025",21,0.05
"197","lus",1,1,0.0120481927710843,0,0.0168294430311357,"Noha","dry_2025",21,0.05
"198","palm",2,2,0.0236694677871148,0,0.0499964164412761,"Noha","dry_2025",21,0.1
"199","ris",1,1,0.0120481927710843,0,0.0195336844824629,"Noha","dry_2025",21,0.05
"200","riva",1,1,0.0119047619047619,0,0.0189809071026391,"Noha","dry_2025",21,0.05
"201","xala",1,1,0.0117647058823529,0,0.0222854576217143,"Noha","dry_2025",21,0.05
"202","xati",2,2,0.0233990147783251,0,0.0353567765381541,"Noha","dry_2025",21,0.1
"203","BBGree25",2,3,0.034340456890199,0,0.137690821332105,"Noha","wet_2025",21,0.15
"204","BBGris25",3,6,0.066305351006963,0,0.206479326234182,"Noha","wet_2025",21,0.3
"205","BBXala25",2,2,0.0155172413793103,0,0.0536818709438703,"Noha","wet_2025",21,0.1
"206","Gale",117,23,0.221701161242168,0.0141843971631206,0.596920189771745,"Noha","wet_2025",21,1.15
"207","Gap",4,6,0.0448361498356901,0,0.129301576070577,"Noha","wet_2025",21,0.3
"208","Gree",147,28,0.356407082801754,0.191489361702128,1,"Noha","wet_2025",21,1.4
"209","Gren",2,2,0.0238507738507739,0,0.112366971888753,"Noha","wet_2025",21,0.1
"210","Gri",131,22,0.187096844183467,0.0319148936170213,0.405248827416431,"Noha","wet_2025",21,1.1
"211","Grim",104,16,0.165434360604061,0.00531914893617021,0.554480712070034,"Noha","wet_2025",21,0.8
"212","Gris",151,29,0.302285136837479,0.111702127659574,0.763412133578844,"Noha","wet_2025",21,1.45
"213","Griv",117,25,0.328838301281387,0.113475177304965,0.920657775494558,"Noha","wet_2025",21,1.25
"214","Gua",109,21,0.19902421580022,0.0398936170212766,0.508592399677086,"Noha","wet_2025",21,1.05
"215","Hav",47,8,0.114534480909535,0.0265957446808511,0.173838329934554,"Noha","wet_2025",21,0.4
"216","Lus",144,28,0.293840371587906,0.0629432624113475,0.726622570269102,"Noha","wet_2025",21,1.4
"217","Palm",142,20,0.173464018326349,0.0452127659574468,0.46593750735088,"Noha","wet_2025",21,1
"218","Pom",213,29,0.25143207109352,0.0390070921985816,0.57810630402696,"Noha","wet_2025",21,1.45
"219","Prag",110,23,0.264278136489522,0.0868794326241135,0.650103392987316,"Noha","wet_2025",21,1.15
"220","Prim",112,19,0.173774202280697,0.0132978723404255,0.393956534195066,"Noha","wet_2025",21,0.95
